Layer,	Type,	DRAM I RD (D) (nJ),	DRAM F RD (D) (nJ),	DRAM O RD (D) (nJ),	DRAM O WR (D) (nJ),	DRAM Total (D) (nJ),	SRAM I RD (D) (nJ),	SRAM F RD (D) (nJ),	SRAM O RD (D) (nJ),	SRAM O WR (D) (nJ),	SRAM Total (D) (nJ),	SRAM I (L) (nJ),	SRAM F (L) (nJ),	SRAM O (L) (nJ),	SRAM Total (L) (nJ),	SRAM Total (D+L) (nJ),	IREG (D) (nJ),	IREG (L) (nJ),	IREG Total (D+L) (nJ),	WREG (D) (nJ),	WREG (L) (nJ),	WREG Total (D+L) (nJ),	MUL (D) (nJ),	MUL (L) (nJ),	MUL Total (D+L) (nJ),	ACC (D) (nJ),	ACC (L) (nJ),	ACC Total (D+L) (nJ),	Systolic Array Total (D) (nJ),	Systolic Array Total (L) (nJ),	Systolic Array Total (D+L) (nJ),	System Total (D) (nJ),	System Total (L) (nJ),	System Total (D+L) (nJ)	
Conv1_0,	GEMM,	156.4620075,	201.07600749999997,	0.0,	1598.666015,	1956.2040299999999,	8.0626804,	1.3907943,	0.0,	18.486498599999997,	27.9399733,	53.400621784,	53.400621784,	53.400621784,	160.201865352,	188.141838652,	0.5019417358771531,	0.42625671641791063,	0.9281984522950637,	0.056468445286179725,	0.42625671641791063,	0.48272516170409036,	2.968378824467361,	1.945145358208956,	4.913524182676317,	2.0078977037783337,	2.7110662089552244,	4.7189639127335585,	5.534686709409028,	5.508725000000002,	11.04341170940903,	1989.678690009409,	165.710590352,	2155.389280361409,	
Conv2_0,	GEMM,	2454.396015,	6425.981037499999,	0.0,	3197.0190225,	12077.396074999999,	481.0771769,	202.897368,	600.593994,	677.6265923999999,	1962.1951313,	744.625430016,	744.625430016,	744.625430016,	2233.876290048,	4196.0714213480005,	9.373761917505833,	5.94378080546986,	15.317542722975693,	1.3552426868683134,	5.94378080546986,	7.299023492338174,	55.43447454692796,	27.123367676477958,	82.55784222340591,	37.497489618060385,	37.80347071258235,	75.30096033064274,	103.6609687693625,	76.81440000000003,	180.47536876936255,	14143.252175069361,	2310.6906900480003,	16453.942865117362,	
Conv1_1,	GEMM,	156.4620075,	201.07600749999997,	0.0,	1598.666015,	1956.2040299999999,	8.0626804,	1.3907943,	0.0,	18.486498599999997,	27.9399733,	53.400621784,	53.400621784,	53.400621784,	160.201865352,	188.141838652,	0.5019417358771531,	0.42625671641791063,	0.9281984522950637,	0.056468445286179725,	0.42625671641791063,	0.48272516170409036,	2.968378824467361,	1.945145358208956,	4.913524182676317,	2.0078977037783337,	2.7110662089552244,	4.7189639127335585,	5.534686709409028,	5.508725000000002,	11.04341170940903,	1989.678690009409,	165.710590352,	2155.389280361409,	
Conv2_1,	GEMM,	2454.396015,	6425.981037499999,	0.0,	3197.0190225,	12077.396074999999,	481.0771769,	202.897368,	600.593994,	677.6265923999999,	1962.1951313,	744.625430016,	744.625430016,	744.625430016,	2233.876290048,	4196.0714213480005,	9.373761917505833,	5.94378080546986,	15.317542722975693,	1.3552426868683134,	5.94378080546986,	7.299023492338174,	55.43447454692796,	27.123367676477958,	82.55784222340591,	37.497489618060385,	37.80347071258235,	75.30096033064274,	103.6609687693625,	76.81440000000003,	180.47536876936255,	14143.252175069361,	2310.6906900480003,	16453.942865117362,	
Conv1_2,	GEMM,	156.4620075,	201.07600749999997,	0.0,	1598.666015,	1956.2040299999999,	8.0626804,	1.3907943,	0.0,	18.486498599999997,	27.9399733,	53.400621784,	53.400621784,	53.400621784,	160.201865352,	188.141838652,	0.5019417358771531,	0.42625671641791063,	0.9281984522950637,	0.056468445286179725,	0.42625671641791063,	0.48272516170409036,	2.968378824467361,	1.945145358208956,	4.913524182676317,	2.0078977037783337,	2.7110662089552244,	4.7189639127335585,	5.534686709409028,	5.508725000000002,	11.04341170940903,	1989.678690009409,	165.710590352,	2155.389280361409,	
Conv2_2,	GEMM,	2454.396015,	6425.981037499999,	0.0,	3197.0190225,	12077.396074999999,	481.0771769,	202.897368,	600.593994,	677.6265923999999,	1962.1951313,	744.625430016,	744.625430016,	744.625430016,	2233.876290048,	4196.0714213480005,	9.373761917505833,	5.94378080546986,	15.317542722975693,	1.3552426868683134,	5.94378080546986,	7.299023492338174,	55.43447454692796,	27.123367676477958,	82.55784222340591,	37.497489618060385,	37.80347071258235,	75.30096033064274,	103.6609687693625,	76.81440000000003,	180.47536876936255,	14143.252175069361,	2310.6906900480003,	16453.942865117362,	
Conv1_3,	GEMM,	156.4620075,	201.07600749999997,	0.0,	1598.666015,	1956.2040299999999,	8.0626804,	1.3907943,	0.0,	18.486498599999997,	27.9399733,	53.400621784,	53.400621784,	53.400621784,	160.201865352,	188.141838652,	0.5019417358771531,	0.42625671641791063,	0.9281984522950637,	0.056468445286179725,	0.42625671641791063,	0.48272516170409036,	2.968378824467361,	1.945145358208956,	4.913524182676317,	2.0078977037783337,	2.7110662089552244,	4.7189639127335585,	5.534686709409028,	5.508725000000002,	11.04341170940903,	1989.678690009409,	165.710590352,	2155.389280361409,	
Conv2_3,	GEMM,	2454.396015,	6425.981037499999,	0.0,	3197.0190225,	12077.396074999999,	481.0771769,	202.897368,	600.593994,	677.6265923999999,	1962.1951313,	744.625430016,	744.625430016,	744.625430016,	2233.876290048,	4196.0714213480005,	9.373761917505833,	5.94378080546986,	15.317542722975693,	1.3552426868683134,	5.94378080546986,	7.299023492338174,	55.43447454692796,	27.123367676477958,	82.55784222340591,	37.497489618060385,	37.80347071258235,	75.30096033064274,	103.6609687693625,	76.81440000000003,	180.47536876936255,	14143.252175069361,	2310.6906900480003,	16453.942865117362,	
Conv1_4,	GEMM,	156.4620075,	201.07600749999997,	0.0,	1598.666015,	1956.2040299999999,	8.0626804,	1.3907943,	0.0,	18.486498599999997,	27.9399733,	53.400621784,	53.400621784,	53.400621784,	160.201865352,	188.141838652,	0.5019417358771531,	0.42625671641791063,	0.9281984522950637,	0.056468445286179725,	0.42625671641791063,	0.48272516170409036,	2.968378824467361,	1.945145358208956,	4.913524182676317,	2.0078977037783337,	2.7110662089552244,	4.7189639127335585,	5.534686709409028,	5.508725000000002,	11.04341170940903,	1989.678690009409,	165.710590352,	2155.389280361409,	
Conv2_4,	GEMM,	2454.396015,	6425.981037499999,	0.0,	3197.0190225,	12077.396074999999,	481.0771769,	202.897368,	600.593994,	677.6265923999999,	1962.1951313,	744.625430016,	744.625430016,	744.625430016,	2233.876290048,	4196.0714213480005,	9.373761917505833,	5.94378080546986,	15.317542722975693,	1.3552426868683134,	5.94378080546986,	7.299023492338174,	55.43447454692796,	27.123367676477958,	82.55784222340591,	37.497489618060385,	37.80347071258235,	75.30096033064274,	103.6609687693625,	76.81440000000003,	180.47536876936255,	14143.252175069361,	2310.6906900480003,	16453.942865117362,	
Conv1_5,	GEMM,	156.4620075,	201.07600749999997,	0.0,	1598.666015,	1956.2040299999999,	8.0626804,	1.3907943,	0.0,	18.486498599999997,	27.9399733,	53.400621784,	53.400621784,	53.400621784,	160.201865352,	188.141838652,	0.5019417358771531,	0.42625671641791063,	0.9281984522950637,	0.056468445286179725,	0.42625671641791063,	0.48272516170409036,	2.968378824467361,	1.945145358208956,	4.913524182676317,	2.0078977037783337,	2.7110662089552244,	4.7189639127335585,	5.534686709409028,	5.508725000000002,	11.04341170940903,	1989.678690009409,	165.710590352,	2155.389280361409,	
Conv2_5,	GEMM,	2454.396015,	6425.981037499999,	0.0,	3197.0190225,	12077.396074999999,	481.0771769,	202.897368,	600.593994,	677.6265923999999,	1962.1951313,	744.625430016,	744.625430016,	744.625430016,	2233.876290048,	4196.0714213480005,	9.373761917505833,	5.94378080546986,	15.317542722975693,	1.3552426868683134,	5.94378080546986,	7.299023492338174,	55.43447454692796,	27.123367676477958,	82.55784222340591,	37.497489618060385,	37.80347071258235,	75.30096033064274,	103.6609687693625,	76.81440000000003,	180.47536876936255,	14143.252175069361,	2310.6906900480003,	16453.942865117362,	
Conv1_6,	GEMM,	156.4620075,	201.07600749999997,	0.0,	1598.666015,	1956.2040299999999,	8.0626804,	1.3907943,	0.0,	18.486498599999997,	27.9399733,	53.400621784,	53.400621784,	53.400621784,	160.201865352,	188.141838652,	0.5019417358771531,	0.42625671641791063,	0.9281984522950637,	0.056468445286179725,	0.42625671641791063,	0.48272516170409036,	2.968378824467361,	1.945145358208956,	4.913524182676317,	2.0078977037783337,	2.7110662089552244,	4.7189639127335585,	5.534686709409028,	5.508725000000002,	11.04341170940903,	1989.678690009409,	165.710590352,	2155.389280361409,	
Conv2_6,	GEMM,	2454.396015,	6425.981037499999,	0.0,	3197.0190225,	12077.396074999999,	481.0771769,	202.897368,	600.593994,	677.6265923999999,	1962.1951313,	744.625430016,	744.625430016,	744.625430016,	2233.876290048,	4196.0714213480005,	9.373761917505833,	5.94378080546986,	15.317542722975693,	1.3552426868683134,	5.94378080546986,	7.299023492338174,	55.43447454692796,	27.123367676477958,	82.55784222340591,	37.497489618060385,	37.80347071258235,	75.30096033064274,	103.6609687693625,	76.81440000000003,	180.47536876936255,	14143.252175069361,	2310.6906900480003,	16453.942865117362,	
Conv1_7,	GEMM,	156.4620075,	201.07600749999997,	0.0,	1598.666015,	1956.2040299999999,	8.0626804,	1.3907943,	0.0,	18.486498599999997,	27.9399733,	53.400621784,	53.400621784,	53.400621784,	160.201865352,	188.141838652,	0.5019417358771531,	0.42625671641791063,	0.9281984522950637,	0.056468445286179725,	0.42625671641791063,	0.48272516170409036,	2.968378824467361,	1.945145358208956,	4.913524182676317,	2.0078977037783337,	2.7110662089552244,	4.7189639127335585,	5.534686709409028,	5.508725000000002,	11.04341170940903,	1989.678690009409,	165.710590352,	2155.389280361409,	
Conv2_7,	GEMM,	2454.396015,	6425.981037499999,	0.0,	3197.0190225,	12077.396074999999,	481.0771769,	202.897368,	600.593994,	677.6265923999999,	1962.1951313,	744.625430016,	744.625430016,	744.625430016,	2233.876290048,	4196.0714213480005,	9.373761917505833,	5.94378080546986,	15.317542722975693,	1.3552426868683134,	5.94378080546986,	7.299023492338174,	55.43447454692796,	27.123367676477958,	82.55784222340591,	37.497489618060385,	37.80347071258235,	75.30096033064274,	103.6609687693625,	76.81440000000003,	180.47536876936255,	14143.252175069361,	2310.6906900480003,	16453.942865117362,	
Conv1_8,	GEMM,	156.4620075,	201.07600749999997,	0.0,	1598.666015,	1956.2040299999999,	8.0626804,	1.3907943,	0.0,	18.486498599999997,	27.9399733,	53.400621784,	53.400621784,	53.400621784,	160.201865352,	188.141838652,	0.5019417358771531,	0.42625671641791063,	0.9281984522950637,	0.056468445286179725,	0.42625671641791063,	0.48272516170409036,	2.968378824467361,	1.945145358208956,	4.913524182676317,	2.0078977037783337,	2.7110662089552244,	4.7189639127335585,	5.534686709409028,	5.508725000000002,	11.04341170940903,	1989.678690009409,	165.710590352,	2155.389280361409,	
Conv2_8,	GEMM,	2454.396015,	6425.981037499999,	0.0,	3197.0190225,	12077.396074999999,	481.0771769,	202.897368,	600.593994,	677.6265923999999,	1962.1951313,	744.625430016,	744.625430016,	744.625430016,	2233.876290048,	4196.0714213480005,	9.373761917505833,	5.94378080546986,	15.317542722975693,	1.3552426868683134,	5.94378080546986,	7.299023492338174,	55.43447454692796,	27.123367676477958,	82.55784222340591,	37.497489618060385,	37.80347071258235,	75.30096033064274,	103.6609687693625,	76.81440000000003,	180.47536876936255,	14143.252175069361,	2310.6906900480003,	16453.942865117362,	
Conv1_9,	GEMM,	156.4620075,	201.07600749999997,	0.0,	1598.666015,	1956.2040299999999,	8.0626804,	1.3907943,	0.0,	18.486498599999997,	27.9399733,	53.400621784,	53.400621784,	53.400621784,	160.201865352,	188.141838652,	0.5019417358771531,	0.42625671641791063,	0.9281984522950637,	0.056468445286179725,	0.42625671641791063,	0.48272516170409036,	2.968378824467361,	1.945145358208956,	4.913524182676317,	2.0078977037783337,	2.7110662089552244,	4.7189639127335585,	5.534686709409028,	5.508725000000002,	11.04341170940903,	1989.678690009409,	165.710590352,	2155.389280361409,	
Conv2_9,	GEMM,	2454.396015,	6425.981037499999,	0.0,	3197.0190225,	12077.396074999999,	481.0771769,	202.897368,	600.593994,	677.6265923999999,	1962.1951313,	744.625430016,	744.625430016,	744.625430016,	2233.876290048,	4196.0714213480005,	9.373761917505833,	5.94378080546986,	15.317542722975693,	1.3552426868683134,	5.94378080546986,	7.299023492338174,	55.43447454692796,	27.123367676477958,	82.55784222340591,	37.497489618060385,	37.80347071258235,	75.30096033064274,	103.6609687693625,	76.81440000000003,	180.47536876936255,	14143.252175069361,	2310.6906900480003,	16453.942865117362,	
FC3_0,	GEMM,	156.4620075,	39269.3972175,	0.0,	355.43300750000003,	39781.2922325,	90.6551878,	1239.92836,	99.8390016,	114.6396356,	1545.0621850000002,	1858.878627576,	1858.878627576,	1858.878627576,	5576.635882728,	7121.698067728001,	6.556613924895312,	14.83802011173185,	21.394634036627163,	6.556613924895312,	14.83802011173185,	21.394634036627163,	47.494061191477776,	67.7106185865922,	115.20467977806999,	32.12636326045334,	94.37236618994416,	126.49872945039749,	92.73365230172175,	191.75902500000007,	284.4926773017218,	41419.08806980173,	5768.394907728,	47187.482977529726,	
FC3_1,	GEMM,	156.4620075,	39269.3972175,	0.0,	355.43300750000003,	39781.2922325,	90.6551878,	1239.92836,	99.8390016,	114.6396356,	1545.0621850000002,	1858.878627576,	1858.878627576,	1858.878627576,	5576.635882728,	7121.698067728001,	6.556613924895312,	14.83802011173185,	21.394634036627163,	6.556613924895312,	14.83802011173185,	21.394634036627163,	47.494061191477776,	67.7106185865922,	115.20467977806999,	32.12636326045334,	94.37236618994416,	126.49872945039749,	92.73365230172175,	191.75902500000007,	284.4926773017218,	41419.08806980173,	5768.394907728,	47187.482977529726,	
FC3_2,	GEMM,	156.4620075,	39269.3972175,	0.0,	355.43300750000003,	39781.2922325,	90.6551878,	1239.92836,	99.8390016,	114.6396356,	1545.0621850000002,	1858.878627576,	1858.878627576,	1858.878627576,	5576.635882728,	7121.698067728001,	6.556613924895312,	14.83802011173185,	21.394634036627163,	6.556613924895312,	14.83802011173185,	21.394634036627163,	47.494061191477776,	67.7106185865922,	115.20467977806999,	32.12636326045334,	94.37236618994416,	126.49872945039749,	92.73365230172175,	191.75902500000007,	284.4926773017218,	41419.08806980173,	5768.394907728,	47187.482977529726,	
FC3_3,	GEMM,	156.4620075,	39269.3972175,	0.0,	355.43300750000003,	39781.2922325,	90.6551878,	1239.92836,	99.8390016,	114.6396356,	1545.0621850000002,	1858.878627576,	1858.878627576,	1858.878627576,	5576.635882728,	7121.698067728001,	6.556613924895312,	14.83802011173185,	21.394634036627163,	6.556613924895312,	14.83802011173185,	21.394634036627163,	47.494061191477776,	67.7106185865922,	115.20467977806999,	32.12636326045334,	94.37236618994416,	126.49872945039749,	92.73365230172175,	191.75902500000007,	284.4926773017218,	41419.08806980173,	5768.394907728,	47187.482977529726,	
FC3_4,	GEMM,	156.4620075,	39269.3972175,	0.0,	355.43300750000003,	39781.2922325,	90.6551878,	1239.92836,	99.8390016,	114.6396356,	1545.0621850000002,	1858.878627576,	1858.878627576,	1858.878627576,	5576.635882728,	7121.698067728001,	6.556613924895312,	14.83802011173185,	21.394634036627163,	6.556613924895312,	14.83802011173185,	21.394634036627163,	47.494061191477776,	67.7106185865922,	115.20467977806999,	32.12636326045334,	94.37236618994416,	126.49872945039749,	92.73365230172175,	191.75902500000007,	284.4926773017218,	41419.08806980173,	5768.394907728,	47187.482977529726,	
FC3_5,	GEMM,	156.4620075,	39269.3972175,	0.0,	355.43300750000003,	39781.2922325,	90.6551878,	1239.92836,	99.8390016,	114.6396356,	1545.0621850000002,	1858.878627576,	1858.878627576,	1858.878627576,	5576.635882728,	7121.698067728001,	6.556613924895312,	14.83802011173185,	21.394634036627163,	6.556613924895312,	14.83802011173185,	21.394634036627163,	47.494061191477776,	67.7106185865922,	115.20467977806999,	32.12636326045334,	94.37236618994416,	126.49872945039749,	92.73365230172175,	191.75902500000007,	284.4926773017218,	41419.08806980173,	5768.394907728,	47187.482977529726,	
FC3_6,	GEMM,	156.4620075,	39269.3972175,	0.0,	355.43300750000003,	39781.2922325,	90.6551878,	1239.92836,	99.8390016,	114.6396356,	1545.0621850000002,	1858.878627576,	1858.878627576,	1858.878627576,	5576.635882728,	7121.698067728001,	6.556613924895312,	14.83802011173185,	21.394634036627163,	6.556613924895312,	14.83802011173185,	21.394634036627163,	47.494061191477776,	67.7106185865922,	115.20467977806999,	32.12636326045334,	94.37236618994416,	126.49872945039749,	92.73365230172175,	191.75902500000007,	284.4926773017218,	41419.08806980173,	5768.394907728,	47187.482977529726,	
FC3_7,	GEMM,	156.4620075,	39269.3972175,	0.0,	355.43300750000003,	39781.2922325,	90.6551878,	1239.92836,	99.8390016,	114.6396356,	1545.0621850000002,	1858.878627576,	1858.878627576,	1858.878627576,	5576.635882728,	7121.698067728001,	6.556613924895312,	14.83802011173185,	21.394634036627163,	6.556613924895312,	14.83802011173185,	21.394634036627163,	47.494061191477776,	67.7106185865922,	115.20467977806999,	32.12636326045334,	94.37236618994416,	126.49872945039749,	92.73365230172175,	191.75902500000007,	284.4926773017218,	41419.08806980173,	5768.394907728,	47187.482977529726,	
FC3_8,	GEMM,	156.4620075,	39269.3972175,	0.0,	355.43300750000003,	39781.2922325,	90.6551878,	1239.92836,	99.8390016,	114.6396356,	1545.0621850000002,	1858.878627576,	1858.878627576,	1858.878627576,	5576.635882728,	7121.698067728001,	6.556613924895312,	14.83802011173185,	21.394634036627163,	6.556613924895312,	14.83802011173185,	21.394634036627163,	47.494061191477776,	67.7106185865922,	115.20467977806999,	32.12636326045334,	94.37236618994416,	126.49872945039749,	92.73365230172175,	191.75902500000007,	284.4926773017218,	41419.08806980173,	5768.394907728,	47187.482977529726,	
FC3_9,	GEMM,	156.4620075,	39269.3972175,	0.0,	355.43300750000003,	39781.2922325,	90.6551878,	1239.92836,	99.8390016,	114.6396356,	1545.0621850000002,	1858.878627576,	1858.878627576,	1858.878627576,	5576.635882728,	7121.698067728001,	6.556613924895312,	14.83802011173185,	21.394634036627163,	6.556613924895312,	14.83802011173185,	21.394634036627163,	47.494061191477776,	67.7106185865922,	115.20467977806999,	32.12636326045334,	94.37236618994416,	126.49872945039749,	92.73365230172175,	191.75902500000007,	284.4926773017218,	41419.08806980173,	5768.394907728,	47187.482977529726,	
RNN4_FG_0,	GEMM,	446.4530075,	28559.5331575,	0.0,	89.0930075,	29095.079172499998,	69.556207,	901.76608,	72.1059456,	77.30808809999999,	1120.7363207,	1138.268560988,	1138.268560988,	1138.268560988,	3414.805682964,	4535.542003664,	5.0194173587715305,	9.085935762528145,	14.105353121299675,	5.0194173587715305,	9.085935762528145,	14.105353121299675,	32.0584913042475,	41.46202298461604,	73.52051428886354,	21.685295200806003,	57.788117990327706,	79.47341319113372,	63.78262122259656,	117.42201250000004,	181.2046337225966,	30279.598114422595,	3532.227695464,	33811.82580988659,	
RNN4_NG_0,	GEMM,	446.4530075,	28559.5331575,	0.0,	89.0930075,	29095.079172499998,	69.556207,	901.76608,	72.1059456,	77.30808809999999,	1120.7363207,	1138.268560988,	1138.268560988,	1138.268560988,	3414.805682964,	4535.542003664,	5.0194173587715305,	9.085935762528145,	14.105353121299675,	5.0194173587715305,	9.085935762528145,	14.105353121299675,	32.0584913042475,	41.46202298461604,	73.52051428886354,	21.685295200806003,	57.788117990327706,	79.47341319113372,	63.78262122259656,	117.42201250000004,	181.2046337225966,	30279.598114422595,	3532.227695464,	33811.82580988659,	
RNN4_ptwise1_0,	GEMM,	89.54100749999999,	89.54100749999999,	0.0,	11.4105075,	190.49252249999998,	2.818019,	2.818019,	0.2166645,	0.3116133,	6.164315800000001,	22.225398452,	22.225398452,	22.225398452,	66.676195356,	72.84051115599999,	0.20077669435086123,	0.17740852163762202,	0.37818521598848326,	0.20077669435086123,	0.17740852163762202,	0.37818521598848326,	1.1873515297869444,	0.8095716714333364,	1.9969232012202807,	0.8031590815113334,	1.1283487852914202,	1.9315078668027537,	2.3920640000000004,	2.2927375000000008,	4.684801500000001,	199.04890229999998,	68.968932856,	268.017835156,	
RNN4_ptwise2_0,	GEMM,	89.54100749999999,	89.54100749999999,	0.0,	11.4105075,	190.49252249999998,	2.818019,	2.818019,	0.2166645,	0.3116133,	6.164315800000001,	22.225398452,	22.225398452,	22.225398452,	66.676195356,	72.84051115599999,	0.20077669435086123,	0.17740852163762202,	0.37818521598848326,	0.20077669435086123,	0.17740852163762202,	0.37818521598848326,	1.1873515297869444,	0.8095716714333364,	1.9969232012202807,	0.8031590815113334,	1.1283487852914202,	1.9315078668027537,	2.3920640000000004,	2.2927375000000008,	4.684801500000001,	199.04890229999998,	68.968932856,	268.017835156,	
RNN4_FG_1,	GEMM,	446.4530075,	28559.5331575,	0.0,	89.0930075,	29095.079172499998,	69.556207,	901.76608,	72.1059456,	77.30808809999999,	1120.7363207,	1138.268560988,	1138.268560988,	1138.268560988,	3414.805682964,	4535.542003664,	5.0194173587715305,	9.085935762528145,	14.105353121299675,	5.0194173587715305,	9.085935762528145,	14.105353121299675,	32.0584913042475,	41.46202298461604,	73.52051428886354,	21.685295200806003,	57.788117990327706,	79.47341319113372,	63.78262122259656,	117.42201250000004,	181.2046337225966,	30279.598114422595,	3532.227695464,	33811.82580988659,	
RNN4_NG_1,	GEMM,	446.4530075,	28559.5331575,	0.0,	89.0930075,	29095.079172499998,	69.556207,	901.76608,	72.1059456,	77.30808809999999,	1120.7363207,	1138.268560988,	1138.268560988,	1138.268560988,	3414.805682964,	4535.542003664,	5.0194173587715305,	9.085935762528145,	14.105353121299675,	5.0194173587715305,	9.085935762528145,	14.105353121299675,	32.0584913042475,	41.46202298461604,	73.52051428886354,	21.685295200806003,	57.788117990327706,	79.47341319113372,	63.78262122259656,	117.42201250000004,	181.2046337225966,	30279.598114422595,	3532.227695464,	33811.82580988659,	
