Layer,	Type,	DRAM I RD (D) (mW),	DRAM F RD (D) (mW),	DRAM O RD (D) (mW),	DRAM O WR (D) (mW),	DRAM Total (D) (mW),	SRAM I RD (D) (mW),	SRAM F RD (D) (mW),	SRAM O RD (D) (mW),	SRAM O WR (D) (mW),	SRAM Total (D) (mW),	SRAM I (L) (mW),	SRAM F (L) (mW),	SRAM O (L) (mW),	SRAM Total (L) (mW),	SRAM Total (D+L) (mW),	IREG (D) (mW),	IREG (L) (mW),	IREG Total (D+L) (mW),	WREG (D) (mW),	WREG (L) (mW),	WREG Total (D+L) (mW),	MUL (D) (mW),	MUL (L) (mW),	MUL Total (D+L) (mW),	ACC (D) (mW),	ACC (L) (mW),	ACC Total (D+L) (mW),	Systolic Array Total (D) (mW),	Systolic Array Total (L) (mW),	Systolic Array Total (D+L) (mW),	System Total (D) (mW),	System Total (L) (mW),	System Total (D+L) (mW)	
Conv1_0,	GEMM,	174.81788547486033,	224.66593016759774,	0.0,	1786.2190111731843,	2185.7028268156423,	9.008581452513965,	1.5539601117318436,	0.0,	20.655305698324018,	31.21784726256983,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	210.21434486256982,	0.5608287551700034,	0.47626448761777723,	1.0370932427877806,	0.06309323495662539,	0.47626448761777723,	0.5393577225744026,	3.316624384879733,	2.173346768948554,	5.489971153828288,	2.2434611215400375,	3.0291242558158933,	5.272585377355931,	6.1840074965464,	6.155000000000002,	12.339007496546401,	2223.1046815747586,	185.1514976,	2408.2561791747585,	
Conv2_0,	GEMM,	196.6663473557692,	514.9023267227562,	0.0,	256.1713960336538,	967.7400701121794,	38.547850713141024,	16.257801923076922,	48.12451874999999,	54.29700259615384,	157.2271739823718,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	336.2236715823718,	0.7511027177488648,	0.47626448761777723,	1.227367205366642,	0.10859316401188408,	0.47626448761777723,	0.5848576516296613,	4.441864947670509,	2.173346768948554,	6.615211716619063,	3.0046065399086848,	3.0291242558158937,	6.033730795724578,	8.306167369339942,	6.155000000000003,	14.461167369339945,	1133.273411463891,	185.15149760000003,	1318.4249090638912,	
Conv1_1,	GEMM,	174.81788547486033,	224.66593016759774,	0.0,	1786.2190111731843,	2185.7028268156423,	9.008581452513965,	1.5539601117318436,	0.0,	20.655305698324018,	31.21784726256983,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	210.21434486256982,	0.5608287551700034,	0.47626448761777723,	1.0370932427877806,	0.06309323495662539,	0.47626448761777723,	0.5393577225744026,	3.316624384879733,	2.173346768948554,	5.489971153828288,	2.2434611215400375,	3.0291242558158933,	5.272585377355931,	6.1840074965464,	6.155000000000002,	12.339007496546401,	2223.1046815747586,	185.1514976,	2408.2561791747585,	
Conv2_1,	GEMM,	196.6663473557692,	514.9023267227562,	0.0,	256.1713960336538,	967.7400701121794,	38.547850713141024,	16.257801923076922,	48.12451874999999,	54.29700259615384,	157.2271739823718,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	336.2236715823718,	0.7511027177488648,	0.47626448761777723,	1.227367205366642,	0.10859316401188408,	0.47626448761777723,	0.5848576516296613,	4.441864947670509,	2.173346768948554,	6.615211716619063,	3.0046065399086848,	3.0291242558158937,	6.033730795724578,	8.306167369339942,	6.155000000000003,	14.461167369339945,	1133.273411463891,	185.15149760000003,	1318.4249090638912,	
Conv1_2,	GEMM,	174.81788547486033,	224.66593016759774,	0.0,	1786.2190111731843,	2185.7028268156423,	9.008581452513965,	1.5539601117318436,	0.0,	20.655305698324018,	31.21784726256983,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	210.21434486256982,	0.5608287551700034,	0.47626448761777723,	1.0370932427877806,	0.06309323495662539,	0.47626448761777723,	0.5393577225744026,	3.316624384879733,	2.173346768948554,	5.489971153828288,	2.2434611215400375,	3.0291242558158933,	5.272585377355931,	6.1840074965464,	6.155000000000002,	12.339007496546401,	2223.1046815747586,	185.1514976,	2408.2561791747585,	
Conv2_2,	GEMM,	196.6663473557692,	514.9023267227562,	0.0,	256.1713960336538,	967.7400701121794,	38.547850713141024,	16.257801923076922,	48.12451874999999,	54.29700259615384,	157.2271739823718,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	336.2236715823718,	0.7511027177488648,	0.47626448761777723,	1.227367205366642,	0.10859316401188408,	0.47626448761777723,	0.5848576516296613,	4.441864947670509,	2.173346768948554,	6.615211716619063,	3.0046065399086848,	3.0291242558158937,	6.033730795724578,	8.306167369339942,	6.155000000000003,	14.461167369339945,	1133.273411463891,	185.15149760000003,	1318.4249090638912,	
Conv1_3,	GEMM,	174.81788547486033,	224.66593016759774,	0.0,	1786.2190111731843,	2185.7028268156423,	9.008581452513965,	1.5539601117318436,	0.0,	20.655305698324018,	31.21784726256983,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	210.21434486256982,	0.5608287551700034,	0.47626448761777723,	1.0370932427877806,	0.06309323495662539,	0.47626448761777723,	0.5393577225744026,	3.316624384879733,	2.173346768948554,	5.489971153828288,	2.2434611215400375,	3.0291242558158933,	5.272585377355931,	6.1840074965464,	6.155000000000002,	12.339007496546401,	2223.1046815747586,	185.1514976,	2408.2561791747585,	
Conv2_3,	GEMM,	196.6663473557692,	514.9023267227562,	0.0,	256.1713960336538,	967.7400701121794,	38.547850713141024,	16.257801923076922,	48.12451874999999,	54.29700259615384,	157.2271739823718,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	336.2236715823718,	0.7511027177488648,	0.47626448761777723,	1.227367205366642,	0.10859316401188408,	0.47626448761777723,	0.5848576516296613,	4.441864947670509,	2.173346768948554,	6.615211716619063,	3.0046065399086848,	3.0291242558158937,	6.033730795724578,	8.306167369339942,	6.155000000000003,	14.461167369339945,	1133.273411463891,	185.15149760000003,	1318.4249090638912,	
Conv1_4,	GEMM,	174.81788547486033,	224.66593016759774,	0.0,	1786.2190111731843,	2185.7028268156423,	9.008581452513965,	1.5539601117318436,	0.0,	20.655305698324018,	31.21784726256983,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	210.21434486256982,	0.5608287551700034,	0.47626448761777723,	1.0370932427877806,	0.06309323495662539,	0.47626448761777723,	0.5393577225744026,	3.316624384879733,	2.173346768948554,	5.489971153828288,	2.2434611215400375,	3.0291242558158933,	5.272585377355931,	6.1840074965464,	6.155000000000002,	12.339007496546401,	2223.1046815747586,	185.1514976,	2408.2561791747585,	
Conv2_4,	GEMM,	196.6663473557692,	514.9023267227562,	0.0,	256.1713960336538,	967.7400701121794,	38.547850713141024,	16.257801923076922,	48.12451874999999,	54.29700259615384,	157.2271739823718,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	336.2236715823718,	0.7511027177488648,	0.47626448761777723,	1.227367205366642,	0.10859316401188408,	0.47626448761777723,	0.5848576516296613,	4.441864947670509,	2.173346768948554,	6.615211716619063,	3.0046065399086848,	3.0291242558158937,	6.033730795724578,	8.306167369339942,	6.155000000000003,	14.461167369339945,	1133.273411463891,	185.15149760000003,	1318.4249090638912,	
Conv1_5,	GEMM,	174.81788547486033,	224.66593016759774,	0.0,	1786.2190111731843,	2185.7028268156423,	9.008581452513965,	1.5539601117318436,	0.0,	20.655305698324018,	31.21784726256983,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	210.21434486256982,	0.5608287551700034,	0.47626448761777723,	1.0370932427877806,	0.06309323495662539,	0.47626448761777723,	0.5393577225744026,	3.316624384879733,	2.173346768948554,	5.489971153828288,	2.2434611215400375,	3.0291242558158933,	5.272585377355931,	6.1840074965464,	6.155000000000002,	12.339007496546401,	2223.1046815747586,	185.1514976,	2408.2561791747585,	
Conv2_5,	GEMM,	196.6663473557692,	514.9023267227562,	0.0,	256.1713960336538,	967.7400701121794,	38.547850713141024,	16.257801923076922,	48.12451874999999,	54.29700259615384,	157.2271739823718,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	336.2236715823718,	0.7511027177488648,	0.47626448761777723,	1.227367205366642,	0.10859316401188408,	0.47626448761777723,	0.5848576516296613,	4.441864947670509,	2.173346768948554,	6.615211716619063,	3.0046065399086848,	3.0291242558158937,	6.033730795724578,	8.306167369339942,	6.155000000000003,	14.461167369339945,	1133.273411463891,	185.15149760000003,	1318.4249090638912,	
Conv1_6,	GEMM,	174.81788547486033,	224.66593016759774,	0.0,	1786.2190111731843,	2185.7028268156423,	9.008581452513965,	1.5539601117318436,	0.0,	20.655305698324018,	31.21784726256983,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	210.21434486256982,	0.5608287551700034,	0.47626448761777723,	1.0370932427877806,	0.06309323495662539,	0.47626448761777723,	0.5393577225744026,	3.316624384879733,	2.173346768948554,	5.489971153828288,	2.2434611215400375,	3.0291242558158933,	5.272585377355931,	6.1840074965464,	6.155000000000002,	12.339007496546401,	2223.1046815747586,	185.1514976,	2408.2561791747585,	
Conv2_6,	GEMM,	196.6663473557692,	514.9023267227562,	0.0,	256.1713960336538,	967.7400701121794,	38.547850713141024,	16.257801923076922,	48.12451874999999,	54.29700259615384,	157.2271739823718,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	336.2236715823718,	0.7511027177488648,	0.47626448761777723,	1.227367205366642,	0.10859316401188408,	0.47626448761777723,	0.5848576516296613,	4.441864947670509,	2.173346768948554,	6.615211716619063,	3.0046065399086848,	3.0291242558158937,	6.033730795724578,	8.306167369339942,	6.155000000000003,	14.461167369339945,	1133.273411463891,	185.15149760000003,	1318.4249090638912,	
Conv1_7,	GEMM,	174.81788547486033,	224.66593016759774,	0.0,	1786.2190111731843,	2185.7028268156423,	9.008581452513965,	1.5539601117318436,	0.0,	20.655305698324018,	31.21784726256983,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	210.21434486256982,	0.5608287551700034,	0.47626448761777723,	1.0370932427877806,	0.06309323495662539,	0.47626448761777723,	0.5393577225744026,	3.316624384879733,	2.173346768948554,	5.489971153828288,	2.2434611215400375,	3.0291242558158933,	5.272585377355931,	6.1840074965464,	6.155000000000002,	12.339007496546401,	2223.1046815747586,	185.1514976,	2408.2561791747585,	
Conv2_7,	GEMM,	196.6663473557692,	514.9023267227562,	0.0,	256.1713960336538,	967.7400701121794,	38.547850713141024,	16.257801923076922,	48.12451874999999,	54.29700259615384,	157.2271739823718,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	336.2236715823718,	0.7511027177488648,	0.47626448761777723,	1.227367205366642,	0.10859316401188408,	0.47626448761777723,	0.5848576516296613,	4.441864947670509,	2.173346768948554,	6.615211716619063,	3.0046065399086848,	3.0291242558158937,	6.033730795724578,	8.306167369339942,	6.155000000000003,	14.461167369339945,	1133.273411463891,	185.15149760000003,	1318.4249090638912,	
Conv1_8,	GEMM,	174.81788547486033,	224.66593016759774,	0.0,	1786.2190111731843,	2185.7028268156423,	9.008581452513965,	1.5539601117318436,	0.0,	20.655305698324018,	31.21784726256983,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	210.21434486256982,	0.5608287551700034,	0.47626448761777723,	1.0370932427877806,	0.06309323495662539,	0.47626448761777723,	0.5393577225744026,	3.316624384879733,	2.173346768948554,	5.489971153828288,	2.2434611215400375,	3.0291242558158933,	5.272585377355931,	6.1840074965464,	6.155000000000002,	12.339007496546401,	2223.1046815747586,	185.1514976,	2408.2561791747585,	
Conv2_8,	GEMM,	196.6663473557692,	514.9023267227562,	0.0,	256.1713960336538,	967.7400701121794,	38.547850713141024,	16.257801923076922,	48.12451874999999,	54.29700259615384,	157.2271739823718,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	336.2236715823718,	0.7511027177488648,	0.47626448761777723,	1.227367205366642,	0.10859316401188408,	0.47626448761777723,	0.5848576516296613,	4.441864947670509,	2.173346768948554,	6.615211716619063,	3.0046065399086848,	3.0291242558158937,	6.033730795724578,	8.306167369339942,	6.155000000000003,	14.461167369339945,	1133.273411463891,	185.15149760000003,	1318.4249090638912,	
Conv1_9,	GEMM,	174.81788547486033,	224.66593016759774,	0.0,	1786.2190111731843,	2185.7028268156423,	9.008581452513965,	1.5539601117318436,	0.0,	20.655305698324018,	31.21784726256983,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	210.21434486256982,	0.5608287551700034,	0.47626448761777723,	1.0370932427877806,	0.06309323495662539,	0.47626448761777723,	0.5393577225744026,	3.316624384879733,	2.173346768948554,	5.489971153828288,	2.2434611215400375,	3.0291242558158933,	5.272585377355931,	6.1840074965464,	6.155000000000002,	12.339007496546401,	2223.1046815747586,	185.1514976,	2408.2561791747585,	
Conv2_9,	GEMM,	196.6663473557692,	514.9023267227562,	0.0,	256.1713960336538,	967.7400701121794,	38.547850713141024,	16.257801923076922,	48.12451874999999,	54.29700259615384,	157.2271739823718,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	336.2236715823718,	0.7511027177488648,	0.47626448761777723,	1.227367205366642,	0.10859316401188408,	0.47626448761777723,	0.5848576516296613,	4.441864947670509,	2.173346768948554,	6.615211716619063,	3.0046065399086848,	3.0291242558158937,	6.033730795724578,	8.306167369339942,	6.155000000000003,	14.461167369339945,	1133.273411463891,	185.15149760000003,	1318.4249090638912,	
FC3_0,	GEMM,	5.022051275878671,	1260.4524865190178,	0.0,	11.408538196116194,	1276.8830759910127,	2.909811837586262,	39.79869555448564,	3.2045900048146363,	3.6796544888460923,	49.59275188573263,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	228.58924948573264,	0.21045141790708752,	0.47626448761777723,	0.6867159055248648,	0.21045141790708752,	0.47626448761777723,	0.6867159055248648,	1.5244442687041493,	2.173346768948554,	3.6977910376527037,	1.031178406690847,	3.0291242558158933,	4.06030266250674,	2.9765255112091715,	6.155000000000002,	9.131525511209173,	1329.4523533879546,	185.1514976,	1514.6038509879547,	
FC3_1,	GEMM,	5.022051275878671,	1260.4524865190178,	0.0,	11.408538196116194,	1276.8830759910127,	2.909811837586262,	39.79869555448564,	3.2045900048146363,	3.6796544888460923,	49.59275188573263,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	228.58924948573264,	0.21045141790708752,	0.47626448761777723,	0.6867159055248648,	0.21045141790708752,	0.47626448761777723,	0.6867159055248648,	1.5244442687041493,	2.173346768948554,	3.6977910376527037,	1.031178406690847,	3.0291242558158933,	4.06030266250674,	2.9765255112091715,	6.155000000000002,	9.131525511209173,	1329.4523533879546,	185.1514976,	1514.6038509879547,	
FC3_2,	GEMM,	5.022051275878671,	1260.4524865190178,	0.0,	11.408538196116194,	1276.8830759910127,	2.909811837586262,	39.79869555448564,	3.2045900048146363,	3.6796544888460923,	49.59275188573263,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	228.58924948573264,	0.21045141790708752,	0.47626448761777723,	0.6867159055248648,	0.21045141790708752,	0.47626448761777723,	0.6867159055248648,	1.5244442687041493,	2.173346768948554,	3.6977910376527037,	1.031178406690847,	3.0291242558158933,	4.06030266250674,	2.9765255112091715,	6.155000000000002,	9.131525511209173,	1329.4523533879546,	185.1514976,	1514.6038509879547,	
FC3_3,	GEMM,	5.022051275878671,	1260.4524865190178,	0.0,	11.408538196116194,	1276.8830759910127,	2.909811837586262,	39.79869555448564,	3.2045900048146363,	3.6796544888460923,	49.59275188573263,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	228.58924948573264,	0.21045141790708752,	0.47626448761777723,	0.6867159055248648,	0.21045141790708752,	0.47626448761777723,	0.6867159055248648,	1.5244442687041493,	2.173346768948554,	3.6977910376527037,	1.031178406690847,	3.0291242558158933,	4.06030266250674,	2.9765255112091715,	6.155000000000002,	9.131525511209173,	1329.4523533879546,	185.1514976,	1514.6038509879547,	
FC3_4,	GEMM,	5.022051275878671,	1260.4524865190178,	0.0,	11.408538196116194,	1276.8830759910127,	2.909811837586262,	39.79869555448564,	3.2045900048146363,	3.6796544888460923,	49.59275188573263,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	228.58924948573264,	0.21045141790708752,	0.47626448761777723,	0.6867159055248648,	0.21045141790708752,	0.47626448761777723,	0.6867159055248648,	1.5244442687041493,	2.173346768948554,	3.6977910376527037,	1.031178406690847,	3.0291242558158933,	4.06030266250674,	2.9765255112091715,	6.155000000000002,	9.131525511209173,	1329.4523533879546,	185.1514976,	1514.6038509879547,	
FC3_5,	GEMM,	5.022051275878671,	1260.4524865190178,	0.0,	11.408538196116194,	1276.8830759910127,	2.909811837586262,	39.79869555448564,	3.2045900048146363,	3.6796544888460923,	49.59275188573263,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	228.58924948573264,	0.21045141790708752,	0.47626448761777723,	0.6867159055248648,	0.21045141790708752,	0.47626448761777723,	0.6867159055248648,	1.5244442687041493,	2.173346768948554,	3.6977910376527037,	1.031178406690847,	3.0291242558158933,	4.06030266250674,	2.9765255112091715,	6.155000000000002,	9.131525511209173,	1329.4523533879546,	185.1514976,	1514.6038509879547,	
FC3_6,	GEMM,	5.022051275878671,	1260.4524865190178,	0.0,	11.408538196116194,	1276.8830759910127,	2.909811837586262,	39.79869555448564,	3.2045900048146363,	3.6796544888460923,	49.59275188573263,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	228.58924948573264,	0.21045141790708752,	0.47626448761777723,	0.6867159055248648,	0.21045141790708752,	0.47626448761777723,	0.6867159055248648,	1.5244442687041493,	2.173346768948554,	3.6977910376527037,	1.031178406690847,	3.0291242558158933,	4.06030266250674,	2.9765255112091715,	6.155000000000002,	9.131525511209173,	1329.4523533879546,	185.1514976,	1514.6038509879547,	
FC3_7,	GEMM,	5.022051275878671,	1260.4524865190178,	0.0,	11.408538196116194,	1276.8830759910127,	2.909811837586262,	39.79869555448564,	3.2045900048146363,	3.6796544888460923,	49.59275188573263,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	228.58924948573264,	0.21045141790708752,	0.47626448761777723,	0.6867159055248648,	0.21045141790708752,	0.47626448761777723,	0.6867159055248648,	1.5244442687041493,	2.173346768948554,	3.6977910376527037,	1.031178406690847,	3.0291242558158933,	4.06030266250674,	2.9765255112091715,	6.155000000000002,	9.131525511209173,	1329.4523533879546,	185.1514976,	1514.6038509879547,	
FC3_8,	GEMM,	5.022051275878671,	1260.4524865190178,	0.0,	11.408538196116194,	1276.8830759910127,	2.909811837586262,	39.79869555448564,	3.2045900048146363,	3.6796544888460923,	49.59275188573263,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	228.58924948573264,	0.21045141790708752,	0.47626448761777723,	0.6867159055248648,	0.21045141790708752,	0.47626448761777723,	0.6867159055248648,	1.5244442687041493,	2.173346768948554,	3.6977910376527037,	1.031178406690847,	3.0291242558158933,	4.06030266250674,	2.9765255112091715,	6.155000000000002,	9.131525511209173,	1329.4523533879546,	185.1514976,	1514.6038509879547,	
FC3_9,	GEMM,	5.022051275878671,	1260.4524865190178,	0.0,	11.408538196116194,	1276.8830759910127,	2.909811837586262,	39.79869555448564,	3.2045900048146363,	3.6796544888460923,	49.59275188573263,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	228.58924948573264,	0.21045141790708752,	0.47626448761777723,	0.6867159055248648,	0.21045141790708752,	0.47626448761777723,	0.6867159055248648,	1.5244442687041493,	2.173346768948554,	3.6977910376527037,	1.031178406690847,	3.0291242558158933,	4.06030266250674,	2.9765255112091715,	6.155000000000002,	9.131525511209173,	1329.4523533879546,	185.1514976,	1514.6038509879547,	
RNN4_FG_0,	GEMM,	23.402070895033415,	1497.0270296160397,	0.0,	4.670056742235618,	1525.0991572533087,	3.6459812344384748,	47.26856663608963,	3.7796328449744463,	4.052317552090158,	58.74649826759271,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	237.7429958675927,	0.26310666275830324,	0.4762644876177772,	0.7393711503760805,	0.26310666275830324,	0.4762644876177772,	0.7393711503760805,	1.680434611675927,	2.173346768948554,	3.853781380624481,	1.1366948080621675,	3.0291242558158933,	4.165819063878061,	3.3433427452547013,	6.155000000000002,	9.498342745254703,	1587.1889982661562,	185.1514976,	1772.3404958661563,	
RNN4_NG_0,	GEMM,	23.402070895033415,	1497.0270296160397,	0.0,	4.670056742235618,	1525.0991572533087,	3.6459812344384748,	47.26856663608963,	3.7796328449744463,	4.052317552090158,	58.74649826759271,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	237.7429958675927,	0.26310666275830324,	0.4762644876177772,	0.7393711503760805,	0.26310666275830324,	0.4762644876177772,	0.7393711503760805,	1.680434611675927,	2.173346768948554,	3.853781380624481,	1.1366948080621675,	3.0291242558158933,	4.165819063878061,	3.3433427452547013,	6.155000000000002,	9.498342745254703,	1587.1889982661562,	185.1514976,	1772.3404958661563,	
RNN4_ptwise1_0,	GEMM,	240.37854362416107,	240.37854362416107,	0.0,	30.632234899328857,	511.38932214765094,	7.5651516778523495,	7.5651516778523495,	0.5816496644295303,	0.8365457718120805,	16.54849879194631,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	195.54499639194628,	0.5389978371835201,	0.47626448761777723,	1.0152623248012973,	0.5389978371835201,	0.47626448761777723,	1.0152623248012973,	3.1875208853340786,	2.173346768948554,	5.360867654282632,	2.156131762446533,	3.0291242558158933,	5.185256018262426,	6.421648322147652,	6.155000000000002,	12.576648322147655,	534.359469261745,	185.1514976,	719.5109668617449,	
RNN4_ptwise2_0,	GEMM,	240.37854362416107,	240.37854362416107,	0.0,	30.632234899328857,	511.38932214765094,	7.5651516778523495,	7.5651516778523495,	0.5816496644295303,	0.8365457718120805,	16.54849879194631,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	195.54499639194628,	0.5389978371835201,	0.47626448761777723,	1.0152623248012973,	0.5389978371835201,	0.47626448761777723,	1.0152623248012973,	3.1875208853340786,	2.173346768948554,	5.360867654282632,	2.156131762446533,	3.0291242558158933,	5.185256018262426,	6.421648322147652,	6.155000000000002,	12.576648322147655,	534.359469261745,	185.1514976,	719.5109668617449,	
RNN4_FG_1,	GEMM,	23.402070895033415,	1497.0270296160397,	0.0,	4.670056742235618,	1525.0991572533087,	3.6459812344384748,	47.26856663608963,	3.7796328449744463,	4.052317552090158,	58.74649826759271,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	237.7429958675927,	0.26310666275830324,	0.4762644876177772,	0.7393711503760805,	0.26310666275830324,	0.4762644876177772,	0.7393711503760805,	1.680434611675927,	2.173346768948554,	3.853781380624481,	1.1366948080621675,	3.0291242558158933,	4.165819063878061,	3.3433427452547013,	6.155000000000002,	9.498342745254703,	1587.1889982661562,	185.1514976,	1772.3404958661563,	
RNN4_NG_1,	GEMM,	23.402070895033415,	1497.0270296160397,	0.0,	4.670056742235618,	1525.0991572533087,	3.6459812344384748,	47.26856663608963,	3.7796328449744463,	4.052317552090158,	58.74649826759271,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	237.7429958675927,	0.26310666275830324,	0.4762644876177772,	0.7393711503760805,	0.26310666275830324,	0.4762644876177772,	0.7393711503760805,	1.680434611675927,	2.173346768948554,	3.853781380624481,	1.1366948080621675,	3.0291242558158933,	4.165819063878061,	3.3433427452547013,	6.155000000000002,	9.498342745254703,	1587.1889982661562,	185.1514976,	1772.3404958661563,	
