Layer name, Layer Type, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Stride H, Stride W, MAC Cycles,
Conv1_0,	GEMM,	10,	11,	3,	3,	1,	16,	1,	1,	1,	
Conv2_0,	GEMM,	10,	11,	3,	3,	16,	32,	1,	1,	1,	
Conv1_1,	GEMM,	10,	11,	3,	3,	1,	16,	1,	1,	1,	
Conv2_1,	GEMM,	10,	11,	3,	3,	16,	32,	1,	1,	1,	
Conv1_2,	GEMM,	10,	11,	3,	3,	1,	16,	1,	1,	1,	
Conv2_2,	GEMM,	10,	11,	3,	3,	16,	32,	1,	1,	1,	
Conv1_3,	GEMM,	10,	11,	3,	3,	1,	16,	1,	1,	1,	
Conv2_3,	GEMM,	10,	11,	3,	3,	16,	32,	1,	1,	1,	
Conv1_4,	GEMM,	10,	11,	3,	3,	1,	16,	1,	1,	1,	
Conv2_4,	GEMM,	10,	11,	3,	3,	16,	32,	1,	1,	1,	
Conv1_5,	GEMM,	10,	11,	3,	3,	1,	16,	1,	1,	1,	
Conv2_5,	GEMM,	10,	11,	3,	3,	16,	32,	1,	1,	1,	
Conv1_6,	GEMM,	10,	11,	3,	3,	1,	16,	1,	1,	1,	
Conv2_6,	GEMM,	10,	11,	3,	3,	16,	32,	1,	1,	1,	
Conv1_7,	GEMM,	10,	11,	3,	3,	1,	16,	1,	1,	1,	
Conv2_7,	GEMM,	10,	11,	3,	3,	16,	32,	1,	1,	1,	
Conv1_8,	GEMM,	10,	11,	3,	3,	1,	16,	1,	1,	1,	
Conv2_8,	GEMM,	10,	11,	3,	3,	16,	32,	1,	1,	1,	
Conv1_9,	GEMM,	10,	11,	3,	3,	1,	16,	1,	1,	1,	
Conv2_9,	GEMM,	10,	11,	3,	3,	16,	32,	1,	1,	1,	
FC3_0,	GEMM,	32,	110,	32,	110,	1,	256,	1,	1,	1,	
FC3_1,	GEMM,	32,	110,	32,	110,	1,	256,	1,	1,	1,	
FC3_2,	GEMM,	32,	110,	32,	110,	1,	256,	1,	1,	1,	
FC3_3,	GEMM,	32,	110,	32,	110,	1,	256,	1,	1,	1,	
FC3_4,	GEMM,	32,	110,	32,	110,	1,	256,	1,	1,	1,	
FC3_5,	GEMM,	32,	110,	32,	110,	1,	256,	1,	1,	1,	
FC3_6,	GEMM,	32,	110,	32,	110,	1,	256,	1,	1,	1,	
FC3_7,	GEMM,	32,	110,	32,	110,	1,	256,	1,	1,	1,	
FC3_8,	GEMM,	32,	110,	32,	110,	1,	256,	1,	1,	1,	
FC3_9,	GEMM,	32,	110,	32,	110,	1,	256,	1,	1,	1,	
RNN4_FG_0,	GEMM,	1,	320,	1,	320,	1,	64,	1,	1,	1,	
RNN4_NG_0,	GEMM,	1,	320,	1,	320,	1,	64,	1,	1,	1,	
RNN4_ptwise1_0,	GEMM,	1,	1,	1,	1,	64,	1,	1,	1,	1,	
RNN4_ptwise2_0,	GEMM,	1,	1,	1,	1,	64,	1,	1,	1,	1,	
RNN4_FG_1,	GEMM,	1,	320,	1,	320,	1,	64,	1,	1,	1,	
RNN4_NG_1,	GEMM,	1,	320,	1,	320,	1,	64,	1,	1,	1,	
RNN4_ptwise1_1,	GEMM,	1,	1,	1,	1,	64,	1,	1,	1,	1,	
RNN4_ptwise2_1,	GEMM,	1,	1,	1,	1,	64,	1,	1,	1,	1,	
RNN4_FG_2,	GEMM,	1,	320,	1,	320,	1,	64,	1,	1,	1,	
RNN4_NG_2,	GEMM,	1,	320,	1,	320,	1,	64,	1,	1,	1,	
RNN4_ptwise1_2,	GEMM,	1,	1,	1,	1,	64,	1,	1,	1,	1,	
RNN4_ptwise2_2,	GEMM,	1,	1,	1,	1,	64,	1,	1,	1,	1,	
RNN4_FG_3,	GEMM,	1,	320,	1,	320,	1,	64,	1,	1,	1,	
RNN4_NG_3,	GEMM,	1,	320,	1,	320,	1,	64,	1,	1,	1,	
RNN4_ptwise1_3,	GEMM,	1,	1,	1,	1,	64,	1,	1,	1,	1,	
RNN4_ptwise2_3,	GEMM,	1,	1,	1,	1,	64,	1,	1,	1,	1,	
RNN4_FG_4,	GEMM,	1,	320,	1,	320,	1,	64,	1,	1,	1,	
RNN4_NG_4,	GEMM,	1,	320,	1,	320,	1,	64,	1,	1,	1,	
RNN4_ptwise1_4,	GEMM,	1,	1,	1,	1,	64,	1,	1,	1,	1,	
RNN4_ptwise2_4,	GEMM,	1,	1,	1,	1,	64,	1,	1,	1,	1,	
RNN4_FG_5,	GEMM,	1,	320,	1,	320,	1,	64,	1,	1,	1,	
RNN4_NG_5,	GEMM,	1,	320,	1,	320,	1,	64,	1,	1,	1,	
RNN4_ptwise1_5,	GEMM,	1,	1,	1,	1,	64,	1,	1,	1,	1,	
RNN4_ptwise2_5,	GEMM,	1,	1,	1,	1,	64,	1,	1,	1,	1,	
RNN4_FG_6,	GEMM,	1,	320,	1,	320,	1,	64,	1,	1,	1,	
RNN4_NG_6,	GEMM,	1,	320,	1,	320,	1,	64,	1,	1,	1,	
RNN4_ptwise1_6,	GEMM,	1,	1,	1,	1,	64,	1,	1,	1,	1,	
RNN4_ptwise2_6,	GEMM,	1,	1,	1,	1,	64,	1,	1,	1,	1,	
RNN4_FG_7,	GEMM,	1,	320,	1,	320,	1,	64,	1,	1,	1,	
RNN4_NG_7,	GEMM,	1,	320,	1,	320,	1,	64,	1,	1,	1,	
RNN4_ptwise1_7,	GEMM,	1,	1,	1,	1,	64,	1,	1,	1,	1,	
RNN4_ptwise2_7,	GEMM,	1,	1,	1,	1,	64,	1,	1,	1,	1,	
RNN4_FG_8,	GEMM,	1,	320,	1,	320,	1,	64,	1,	1,	1,	
RNN4_NG_8,	GEMM,	1,	320,	1,	320,	1,	64,	1,	1,	1,	
RNN4_ptwise1_8,	GEMM,	1,	1,	1,	1,	64,	1,	1,	1,	1,	
RNN4_ptwise2_8,	GEMM,	1,	1,	1,	1,	64,	1,	1,	1,	1,	
RNN4_FG_9,	GEMM,	1,	320,	1,	320,	1,	64,	1,	1,	1,	
RNN4_NG_9,	GEMM,	1,	320,	1,	320,	1,	64,	1,	1,	1,	
RNN4_ptwise1_9,	GEMM,	1,	1,	1,	1,	64,	1,	1,	1,	1,	
RNN4_ptwise2_9,	GEMM,	1,	1,	1,	1,	64,	1,	1,	1,	1,	
FC5,	GEMM,	1,	64,	1,	64,	1,	5,	1,	1,	1,	
FC6,	GEMM,	1,	64,	1,	64,	1,	2,	1,	1,	1,	