Layer,	Type,	tot_word_ifmap_rd_dram,	max_word_ifmap_rd_dram,	tot_access_ifmap_rd_dram,	tot_row_access_ifmap_rd_dram,	act_cycles_ifmap_rd_dram,	shift_cycles_ifmap_rd_dram,	ideal_start_cycle_ifmap_rd_dram,	ideal_end_cycle_ifmap_rd_dram,	real_start_cycle_ifmap_rd_dram,	real_end_cycle_ifmap_rd_dram,	tot_word_filter_rd_dram,	max_word_filter_rd_dram,	tot_access_filter_rd_dram,	tot_row_access_filter_rd_dram,	act_cycles_filter_rd_dram,	shift_cycles_filter_rd_dram,	ideal_start_cycle_filter_rd_dram,	ideal_end_cycle_filter_rd_dram,	real_start_cycle_filter_rd_dram,	real_end_cycle_filter_rd_dram,	tot_word_ofmap_rd_dram,	max_word_ofmap_rd_dram,	tot_access_ofmap_rd_dram,	tot_row_access_ofmap_rd_dram,	act_cycles_ofmap_rd_dram,	shift_cycles_ofmap_rd_dram,	ideal_start_cycle_ofmap_rd_dram,	ideal_end_cycle_ofmap_rd_dram,	real_start_cycle_ofmap_rd_dram,	real_end_cycle_ofmap_rd_dram,	tot_word_ofmap_wr_dram,	max_word_ofmap_wr_dram,	tot_access_ofmap_wr_dram,	tot_row_access_ofmap_wr_dram,	act_cycles_ofmap_wr_dram,	shift_cycles_ofmap_wr_dram,	ideal_start_cycle_ofmap_wr_dram,	ideal_end_cycle_ofmap_wr_dram,	real_start_cycle_ofmap_wr_dram,	real_end_cycle_ofmap_wr_dram,	tot_word_ifmap_rd_sram,	max_word_ifmap_rd_sram,	tot_access_ifmap_rd_sram,	max_access_ifmap_rd_sram,	act_cycles_ifmap_rd_sram,	stall_cycles_ifmap_rd_sram,	ideal_start_cycle_ifmap_rd_sram,	ideal_end_cycle_ifmap_rd_sram,	real_start_cycle_ifmap_rd_sram,	real_end_cycle_ifmap_rd_sram,	tot_word_filter_rd_sram,	max_word_filter_rd_sram,	tot_access_filter_rd_sram,	max_access_filter_rd_sram,	act_cycles_filter_rd_sram,	stall_cycles_filter_rd_sram,	ideal_start_cycle_filter_rd_sram,	ideal_end_cycle_filter_rd_sram,	real_start_cycle_filter_rd_sram,	real_end_cycle_filter_rd_sram,	tot_word_ofmap_rd_sram,	max_word_ofmap_rd_sram,	tot_access_ofmap_rd_sram,	max_access_ofmap_rd_sram,	act_cycles_ofmap_rd_sram,	stall_cycles_ofmap_rd_sram,	ideal_start_cycle_ofmap_rd_sram,	ideal_end_cycle_ofmap_rd_sram,	real_start_cycle_ofmap_rd_sram,	real_end_cycle_ofmap_rd_sram,	tot_word_ofmap_wr_sram,	max_word_ofmap_wr_sram,	tot_access_ofmap_wr_sram,	max_access_ofmap_wr_sram,	act_cycles_ofmap_wr_sram,	stall_cycles_ofmap_wr_sram,	ideal_start_cycle_ofmap_wr_sram,	ideal_end_cycle_ofmap_wr_sram,	real_start_cycle_ofmap_wr_sram,	real_end_cycle_ofmap_wr_sram,	ideal_layer_cycle,	ideal_layer_sec,	real_layer_cycle,	real_layer_sec,	act_cycle_ifmap_rd,	act_cycle_filter_rd,	act_cycle_ofmap_rd,	act_cycle_ofmap_wr,	dynamic_cycle_ireg,	dynamic_cycle_wreg,	dynamic_cycle_mac,	
Conv1_0,	GEMM,	110,	8,	14,	1,	14,	0,	-14.0,	-1.0,	-14.0,	-1.0,	144,	8,	18,	1,	18,	0,	-18.0,	-1.0,	-18.0,	-1.0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	1152,	8,	144,	2,	144,	0,	196.0,	339.0,	196.0,	339.0,	1296,	9,	184,	2,	160,	0,	0.0,	192.0,	0.0,	192.0,	144,	14,	29,	2,	18,	0,	0.0,	192.0,	0.0,	192.0,	0,	0,	0,	0,	0,	0,	0.0,	192.0,	0.0,	192.0,	1152,	14,	396,	5,	158,	0,	19.0,	195.0,	19.0,	195.0,	358.0,	5.021037868162693e-05,	358.0,	5.021037868162693e-05,	160,	18,	0,	158,	160,	18,	160,	
Conv2_0,	GEMM,	1760,	8,	220,	2,	220,	0,	-220.0,	-1.0,	-220.0,	-1.0,	4608,	8,	576,	5,	576,	0,	-576.0,	-1.0,	-576.0,	-1.0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	2304,	8,	288,	3,	288,	0,	3840.0,	4127.0,	3840.0,	4127.0,	31104,	12,	11073,	5,	2988,	0,	0.0,	3838.0,	0.0,	3838.0,	4608,	14,	4608,	13,	432,	288,	0.0,	3838.0,	0.0,	4126.0,	25344,	14,	13860,	8,	2695,	0,	0.0,	3838.0,	0.0,	3838.0,	27648,	14,	15120,	8,	2940,	0,	25.0,	3839.0,	25.0,	3839.0,	4704.0,	0.0006597475455820477,	4992.0,	0.000700140252454418,	2988,	432,	2695,	2940,	2988,	432,	2988,	
Conv1_1,	GEMM,	110,	8,	14,	1,	14,	0,	-14.0,	-1.0,	-14.0,	-1.0,	144,	8,	18,	1,	18,	0,	-18.0,	-1.0,	-18.0,	-1.0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	1152,	8,	144,	2,	144,	0,	196.0,	339.0,	196.0,	339.0,	1296,	9,	184,	2,	160,	0,	0.0,	192.0,	0.0,	192.0,	144,	14,	29,	2,	18,	0,	0.0,	192.0,	0.0,	192.0,	0,	0,	0,	0,	0,	0,	0.0,	192.0,	0.0,	192.0,	1152,	14,	396,	5,	158,	0,	19.0,	195.0,	19.0,	195.0,	358.0,	5.021037868162693e-05,	358.0,	5.021037868162693e-05,	160,	18,	0,	158,	160,	18,	160,	
Conv2_1,	GEMM,	1760,	8,	220,	2,	220,	0,	-220.0,	-1.0,	-220.0,	-1.0,	4608,	8,	576,	5,	576,	0,	-576.0,	-1.0,	-576.0,	-1.0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	2304,	8,	288,	3,	288,	0,	3840.0,	4127.0,	3840.0,	4127.0,	31104,	12,	11073,	5,	2988,	0,	0.0,	3838.0,	0.0,	3838.0,	4608,	14,	4608,	13,	432,	288,	0.0,	3838.0,	0.0,	4126.0,	25344,	14,	13860,	8,	2695,	0,	0.0,	3838.0,	0.0,	3838.0,	27648,	14,	15120,	8,	2940,	0,	25.0,	3839.0,	25.0,	3839.0,	4704.0,	0.0006597475455820477,	4992.0,	0.000700140252454418,	2988,	432,	2695,	2940,	2988,	432,	2988,	
Conv1_2,	GEMM,	110,	8,	14,	1,	14,	0,	-14.0,	-1.0,	-14.0,	-1.0,	144,	8,	18,	1,	18,	0,	-18.0,	-1.0,	-18.0,	-1.0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	1152,	8,	144,	2,	144,	0,	196.0,	339.0,	196.0,	339.0,	1296,	9,	184,	2,	160,	0,	0.0,	192.0,	0.0,	192.0,	144,	14,	29,	2,	18,	0,	0.0,	192.0,	0.0,	192.0,	0,	0,	0,	0,	0,	0,	0.0,	192.0,	0.0,	192.0,	1152,	14,	396,	5,	158,	0,	19.0,	195.0,	19.0,	195.0,	358.0,	5.021037868162693e-05,	358.0,	5.021037868162693e-05,	160,	18,	0,	158,	160,	18,	160,	
Conv2_2,	GEMM,	1760,	8,	220,	2,	220,	0,	-220.0,	-1.0,	-220.0,	-1.0,	4608,	8,	576,	5,	576,	0,	-576.0,	-1.0,	-576.0,	-1.0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	2304,	8,	288,	3,	288,	0,	3840.0,	4127.0,	3840.0,	4127.0,	31104,	12,	11073,	5,	2988,	0,	0.0,	3838.0,	0.0,	3838.0,	4608,	14,	4608,	13,	432,	288,	0.0,	3838.0,	0.0,	4126.0,	25344,	14,	13860,	8,	2695,	0,	0.0,	3838.0,	0.0,	3838.0,	27648,	14,	15120,	8,	2940,	0,	25.0,	3839.0,	25.0,	3839.0,	4704.0,	0.0006597475455820477,	4992.0,	0.000700140252454418,	2988,	432,	2695,	2940,	2988,	432,	2988,	
Conv1_3,	GEMM,	110,	8,	14,	1,	14,	0,	-14.0,	-1.0,	-14.0,	-1.0,	144,	8,	18,	1,	18,	0,	-18.0,	-1.0,	-18.0,	-1.0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	1152,	8,	144,	2,	144,	0,	196.0,	339.0,	196.0,	339.0,	1296,	9,	184,	2,	160,	0,	0.0,	192.0,	0.0,	192.0,	144,	14,	29,	2,	18,	0,	0.0,	192.0,	0.0,	192.0,	0,	0,	0,	0,	0,	0,	0.0,	192.0,	0.0,	192.0,	1152,	14,	396,	5,	158,	0,	19.0,	195.0,	19.0,	195.0,	358.0,	5.021037868162693e-05,	358.0,	5.021037868162693e-05,	160,	18,	0,	158,	160,	18,	160,	
Conv2_3,	GEMM,	1760,	8,	220,	2,	220,	0,	-220.0,	-1.0,	-220.0,	-1.0,	4608,	8,	576,	5,	576,	0,	-576.0,	-1.0,	-576.0,	-1.0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	2304,	8,	288,	3,	288,	0,	3840.0,	4127.0,	3840.0,	4127.0,	31104,	12,	11073,	5,	2988,	0,	0.0,	3838.0,	0.0,	3838.0,	4608,	14,	4608,	13,	432,	288,	0.0,	3838.0,	0.0,	4126.0,	25344,	14,	13860,	8,	2695,	0,	0.0,	3838.0,	0.0,	3838.0,	27648,	14,	15120,	8,	2940,	0,	25.0,	3839.0,	25.0,	3839.0,	4704.0,	0.0006597475455820477,	4992.0,	0.000700140252454418,	2988,	432,	2695,	2940,	2988,	432,	2988,	
Conv1_4,	GEMM,	110,	8,	14,	1,	14,	0,	-14.0,	-1.0,	-14.0,	-1.0,	144,	8,	18,	1,	18,	0,	-18.0,	-1.0,	-18.0,	-1.0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	1152,	8,	144,	2,	144,	0,	196.0,	339.0,	196.0,	339.0,	1296,	9,	184,	2,	160,	0,	0.0,	192.0,	0.0,	192.0,	144,	14,	29,	2,	18,	0,	0.0,	192.0,	0.0,	192.0,	0,	0,	0,	0,	0,	0,	0.0,	192.0,	0.0,	192.0,	1152,	14,	396,	5,	158,	0,	19.0,	195.0,	19.0,	195.0,	358.0,	5.021037868162693e-05,	358.0,	5.021037868162693e-05,	160,	18,	0,	158,	160,	18,	160,	
Conv2_4,	GEMM,	1760,	8,	220,	2,	220,	0,	-220.0,	-1.0,	-220.0,	-1.0,	4608,	8,	576,	5,	576,	0,	-576.0,	-1.0,	-576.0,	-1.0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	2304,	8,	288,	3,	288,	0,	3840.0,	4127.0,	3840.0,	4127.0,	31104,	12,	11073,	5,	2988,	0,	0.0,	3838.0,	0.0,	3838.0,	4608,	14,	4608,	13,	432,	288,	0.0,	3838.0,	0.0,	4126.0,	25344,	14,	13860,	8,	2695,	0,	0.0,	3838.0,	0.0,	3838.0,	27648,	14,	15120,	8,	2940,	0,	25.0,	3839.0,	25.0,	3839.0,	4704.0,	0.0006597475455820477,	4992.0,	0.000700140252454418,	2988,	432,	2695,	2940,	2988,	432,	2988,	
Conv1_5,	GEMM,	110,	8,	14,	1,	14,	0,	-14.0,	-1.0,	-14.0,	-1.0,	144,	8,	18,	1,	18,	0,	-18.0,	-1.0,	-18.0,	-1.0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	1152,	8,	144,	2,	144,	0,	196.0,	339.0,	196.0,	339.0,	1296,	9,	184,	2,	160,	0,	0.0,	192.0,	0.0,	192.0,	144,	14,	29,	2,	18,	0,	0.0,	192.0,	0.0,	192.0,	0,	0,	0,	0,	0,	0,	0.0,	192.0,	0.0,	192.0,	1152,	14,	396,	5,	158,	0,	19.0,	195.0,	19.0,	195.0,	358.0,	5.021037868162693e-05,	358.0,	5.021037868162693e-05,	160,	18,	0,	158,	160,	18,	160,	
Conv2_5,	GEMM,	1760,	8,	220,	2,	220,	0,	-220.0,	-1.0,	-220.0,	-1.0,	4608,	8,	576,	5,	576,	0,	-576.0,	-1.0,	-576.0,	-1.0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	2304,	8,	288,	3,	288,	0,	3840.0,	4127.0,	3840.0,	4127.0,	31104,	12,	11073,	5,	2988,	0,	0.0,	3838.0,	0.0,	3838.0,	4608,	14,	4608,	13,	432,	288,	0.0,	3838.0,	0.0,	4126.0,	25344,	14,	13860,	8,	2695,	0,	0.0,	3838.0,	0.0,	3838.0,	27648,	14,	15120,	8,	2940,	0,	25.0,	3839.0,	25.0,	3839.0,	4704.0,	0.0006597475455820477,	4992.0,	0.000700140252454418,	2988,	432,	2695,	2940,	2988,	432,	2988,	
Conv1_6,	GEMM,	110,	8,	14,	1,	14,	0,	-14.0,	-1.0,	-14.0,	-1.0,	144,	8,	18,	1,	18,	0,	-18.0,	-1.0,	-18.0,	-1.0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	1152,	8,	144,	2,	144,	0,	196.0,	339.0,	196.0,	339.0,	1296,	9,	184,	2,	160,	0,	0.0,	192.0,	0.0,	192.0,	144,	14,	29,	2,	18,	0,	0.0,	192.0,	0.0,	192.0,	0,	0,	0,	0,	0,	0,	0.0,	192.0,	0.0,	192.0,	1152,	14,	396,	5,	158,	0,	19.0,	195.0,	19.0,	195.0,	358.0,	5.021037868162693e-05,	358.0,	5.021037868162693e-05,	160,	18,	0,	158,	160,	18,	160,	
Conv2_6,	GEMM,	1760,	8,	220,	2,	220,	0,	-220.0,	-1.0,	-220.0,	-1.0,	4608,	8,	576,	5,	576,	0,	-576.0,	-1.0,	-576.0,	-1.0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	2304,	8,	288,	3,	288,	0,	3840.0,	4127.0,	3840.0,	4127.0,	31104,	12,	11073,	5,	2988,	0,	0.0,	3838.0,	0.0,	3838.0,	4608,	14,	4608,	13,	432,	288,	0.0,	3838.0,	0.0,	4126.0,	25344,	14,	13860,	8,	2695,	0,	0.0,	3838.0,	0.0,	3838.0,	27648,	14,	15120,	8,	2940,	0,	25.0,	3839.0,	25.0,	3839.0,	4704.0,	0.0006597475455820477,	4992.0,	0.000700140252454418,	2988,	432,	2695,	2940,	2988,	432,	2988,	
Conv1_7,	GEMM,	110,	8,	14,	1,	14,	0,	-14.0,	-1.0,	-14.0,	-1.0,	144,	8,	18,	1,	18,	0,	-18.0,	-1.0,	-18.0,	-1.0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	1152,	8,	144,	2,	144,	0,	196.0,	339.0,	196.0,	339.0,	1296,	9,	184,	2,	160,	0,	0.0,	192.0,	0.0,	192.0,	144,	14,	29,	2,	18,	0,	0.0,	192.0,	0.0,	192.0,	0,	0,	0,	0,	0,	0,	0.0,	192.0,	0.0,	192.0,	1152,	14,	396,	5,	158,	0,	19.0,	195.0,	19.0,	195.0,	358.0,	5.021037868162693e-05,	358.0,	5.021037868162693e-05,	160,	18,	0,	158,	160,	18,	160,	
Conv2_7,	GEMM,	1760,	8,	220,	2,	220,	0,	-220.0,	-1.0,	-220.0,	-1.0,	4608,	8,	576,	5,	576,	0,	-576.0,	-1.0,	-576.0,	-1.0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	2304,	8,	288,	3,	288,	0,	3840.0,	4127.0,	3840.0,	4127.0,	31104,	12,	11073,	5,	2988,	0,	0.0,	3838.0,	0.0,	3838.0,	4608,	14,	4608,	13,	432,	288,	0.0,	3838.0,	0.0,	4126.0,	25344,	14,	13860,	8,	2695,	0,	0.0,	3838.0,	0.0,	3838.0,	27648,	14,	15120,	8,	2940,	0,	25.0,	3839.0,	25.0,	3839.0,	4704.0,	0.0006597475455820477,	4992.0,	0.000700140252454418,	2988,	432,	2695,	2940,	2988,	432,	2988,	
Conv1_8,	GEMM,	110,	8,	14,	1,	14,	0,	-14.0,	-1.0,	-14.0,	-1.0,	144,	8,	18,	1,	18,	0,	-18.0,	-1.0,	-18.0,	-1.0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	1152,	8,	144,	2,	144,	0,	196.0,	339.0,	196.0,	339.0,	1296,	9,	184,	2,	160,	0,	0.0,	192.0,	0.0,	192.0,	144,	14,	29,	2,	18,	0,	0.0,	192.0,	0.0,	192.0,	0,	0,	0,	0,	0,	0,	0.0,	192.0,	0.0,	192.0,	1152,	14,	396,	5,	158,	0,	19.0,	195.0,	19.0,	195.0,	358.0,	5.021037868162693e-05,	358.0,	5.021037868162693e-05,	160,	18,	0,	158,	160,	18,	160,	
Conv2_8,	GEMM,	1760,	8,	220,	2,	220,	0,	-220.0,	-1.0,	-220.0,	-1.0,	4608,	8,	576,	5,	576,	0,	-576.0,	-1.0,	-576.0,	-1.0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	2304,	8,	288,	3,	288,	0,	3840.0,	4127.0,	3840.0,	4127.0,	31104,	12,	11073,	5,	2988,	0,	0.0,	3838.0,	0.0,	3838.0,	4608,	14,	4608,	13,	432,	288,	0.0,	3838.0,	0.0,	4126.0,	25344,	14,	13860,	8,	2695,	0,	0.0,	3838.0,	0.0,	3838.0,	27648,	14,	15120,	8,	2940,	0,	25.0,	3839.0,	25.0,	3839.0,	4704.0,	0.0006597475455820477,	4992.0,	0.000700140252454418,	2988,	432,	2695,	2940,	2988,	432,	2988,	
Conv1_9,	GEMM,	110,	8,	14,	1,	14,	0,	-14.0,	-1.0,	-14.0,	-1.0,	144,	8,	18,	1,	18,	0,	-18.0,	-1.0,	-18.0,	-1.0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	1152,	8,	144,	2,	144,	0,	196.0,	339.0,	196.0,	339.0,	1296,	9,	184,	2,	160,	0,	0.0,	192.0,	0.0,	192.0,	144,	14,	29,	2,	18,	0,	0.0,	192.0,	0.0,	192.0,	0,	0,	0,	0,	0,	0,	0.0,	192.0,	0.0,	192.0,	1152,	14,	396,	5,	158,	0,	19.0,	195.0,	19.0,	195.0,	358.0,	5.021037868162693e-05,	358.0,	5.021037868162693e-05,	160,	18,	0,	158,	160,	18,	160,	
Conv2_9,	GEMM,	1760,	8,	220,	2,	220,	0,	-220.0,	-1.0,	-220.0,	-1.0,	4608,	8,	576,	5,	576,	0,	-576.0,	-1.0,	-576.0,	-1.0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	2304,	8,	288,	3,	288,	0,	3840.0,	4127.0,	3840.0,	4127.0,	31104,	12,	11073,	5,	2988,	0,	0.0,	3838.0,	0.0,	3838.0,	4608,	14,	4608,	13,	432,	288,	0.0,	3838.0,	0.0,	4126.0,	25344,	14,	13860,	8,	2695,	0,	0.0,	3838.0,	0.0,	3838.0,	27648,	14,	15120,	8,	2940,	0,	25.0,	3839.0,	25.0,	3839.0,	4704.0,	0.0006597475455820477,	4992.0,	0.000700140252454418,	2988,	432,	2695,	2940,	2988,	432,	2988,	
